Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
40.497,676.999,676.999,-74.241,74.246,0.12,0.138,275.133,0.272,275.133,89.943,0.906,0.068,28.61,-80.597,0.018,-1.608e-4,0.957,0.03,-89.114,89.954,1169.027,343,0.162,0.001,9.79,96.924,70.447,2.648,0,0,11.585,0.466,0.262,0.078,0.126,0.466,0.004,0.009,-1.338e-4,0,0,0,0,2.126e-5,2.03,90,10.6,934.833,0.001,337.722,0.22,6.046e6,10,78.54,0.05,0.154,0.01
40.547,673.287,673.287,-74.235,74.24,0.118,0.364,275.087,0.272,275.087,89.943,0.917,0.345,28.61,-80.597,0.05,-1.593e-4,-0.535,0.007,-89.157,89.959,1169.027,343,0.162,0.001,9.79,96.9,70.447,2.645,0,0,11.588,0.466,0.262,0.078,0.126,0.466,0.01,0.026,-4.14e-5,0,0,0,0,-6.648e-6,2.074,90,10.624,935.248,0.001,337.737,0.22,6.047e6,10,78.54,0.05,0.155,0.01
40.597,669.575,669.575,-74.229,74.234,0.124,0.128,275.041,0.272,275.041,89.943,0.927,0.031,28.61,-80.597,0.025,-1.599e-4,0.199,-0.016,-89.169,89.923,1169.027,343,0.162,0.001,9.79,96.919,70.447,2.647,0,0,11.589,0.466,0.262,0.078,0.126,0.466,0.005,0.013,-4.389e-4,0,0,0,0,9.243e-7,1.971,90,10.648,935.663,0.001,337.751,0.22,6.048e6,10,78.54,0.05,0.155,0.01
40.647,665.864,665.864,-74.222,74.228,0.123,0.319,274.995,0.272,274.995,89.943,0.934,0.294,28.61,-80.597,0.039,-1.593e-4,-0.06,-8.994e-4,-89.181,89.891,1169.027,343,0.162,0.001,9.79,96.908,70.447,2.646,0,0,11.592,0.466,0.262,0.078,0.126,0.466,0.008,0.021,3.703e-5,0,0,0,0,-8.33e-8,2.047,90,10.672,936.077,0.001,337.766,0.22,6.05e6,10,78.54,0.05,0.155,0.01
40.697,662.153,662.153,-74.216,74.222,0.129,0.132,274.948,0.272,274.948,89.943,0.941,0.028,28.61,-80.597,0.039,-1.598e-4,0.033,-0.001,-89.176,89.894,1169.027,343,0.162,0.001,9.79,96.908,70.447,2.646,0,0,11.594,0.466,0.262,0.078,0.126,0.466,0.008,0.02,-2.426e-4,0,0,0,0,2.598e-8,1.958,90,10.696,936.492,0.001,337.781,0.22,6.051e6,10,78.54,0.05,0.155,0.01
40.747,658.442,658.442,-74.21,74.216,0.13,0.13,274.901,0.272,274.901,89.943,0.94,0.014,28.61,-80.597,0.028,-1.588e-4,0.886,0.011,-89.2,89.914,1169.027,343,0.162,0.001,9.79,96.917,70.447,2.647,0,0,11.596,0.466,0.262,0.078,0.126,0.466,0.005,0.014,3.243e-4,0,0,0,0,1.824e-5,1.94,90,10.72,936.906,0.001,337.795,0.22,6.052e6,10,78.54,0.05,0.155,0.01
40.797,654.732,654.732,-74.203,74.209,0.127,0.366,274.854,0.273,274.854,89.943,0.949,0.343,28.61,-80.597,0.053,-1.599e-4,-0.55,0.002,-89.243,89.945,1169.027,343,0.162,0.001,9.79,96.897,70.447,2.645,0,0,11.598,0.466,0.262,0.078,0.126,0.466,0.01,0.028,-1.36e-4,0,0,0,0,-7.026e-6,1.999,90,10.744,937.321,0.001,337.81,0.22,6.053e6,10,78.54,0.05,0.155,0.01
40.847,651.022,651.022,-74.197,74.203,0.13,0.295,274.806,0.273,274.806,89.943,0.966,0.265,28.61,-80.597,0.035,-1.594e-4,0.568,-0.013,-89.241,89.956,1169.027,343,0.162,0.001,9.79,96.912,70.447,2.646,0,0,11.6,0.466,0.262,0.078,0.126,0.466,0.007,0.017,-4.966e-4,0,0,0,0,7.513e-6,1.994,90,10.768,937.735,0.001,337.825,0.22,6.055e6,10,78.54,0.05,0.155,0.01
40.897,647.312,647.312,-74.19,74.197,0.132,0.307,274.757,0.273,274.757,89.943,0.98,0.278,28.61,-80.597,0.035,-1.598e-4,1.381,-1.202e-4,-89.192,89.949,1169.027,343,0.162,0.001,9.79,96.911,70.447,2.646,0,0,11.602,0.466,0.262,0.078,0.126,0.466,0.007,0.018,3.926e-4,0,0,0,0,4.438e-5,2.072,90,10.792,938.15,0.001,337.839,0.22,6.056e6,10,78.54,0.05,0.156,0.01
40.947,643.603,643.603,-74.183,74.19,0.143,0.395,274.708,0.273,274.708,89.943,0.977,0.368,28.61,-80.597,0.122,-1.6e-4,-0.306,0.003,-89.136,89.942,1169.027,343,0.162,0.001,9.79,96.843,70.447,2.64,0,0,11.604,0.466,0.262,0.078,0.126,0.466,0.024,0.063,-1.138e-4,0,0,0,0,-2.185e-6,1.937,90,10.817,938.564,0.001,337.854,0.22,6.057e6,10,78.54,0.05,0.156,0.009
40.997,639.894,639.894,-74.176,74.183,0.141,0.226,274.66,0.273,274.66,89.943,0.961,0.177,28.61,-80.597,0.074,-1.539e-4,2.152,0.005,-89.188,89.945,1169.027,343,0.162,0.001,9.79,96.881,70.447,2.643,0,0,11.606,0.466,0.262,0.078,0.126,0.466,0.014,0.038,-2.512e-4,0,0,0,0,1.078e-4,1.917,90,10.841,938.979,0.001,337.868,0.22,6.058e6,10,78.54,0.05,0.156,0.009
41.047,636.185,636.185,-74.169,74.176,0.135,0.385,274.612,0.273,274.612,89.943,0.966,0.36,28.61,-80.597,0.06,-1.546e-4,-2.26,0.01,-89.309,89.954,1169.027,343,0.162,0.001,9.79,96.891,70.447,2.644,0,0,11.608,0.466,0.262,0.078,0.126,0.466,0.012,0.031,4.949e-4,0,0,0,0,-1.189e-4,1.938,90,10.865,939.393,0.001,337.883,0.22,6.059e6,10,78.54,0.05,0.156,0.009
41.097,632.477,632.477,-74.163,74.169,0.134,0.713,274.563,0.273,274.563,89.943,0.994,0.7,28.61,-80.597,0.144,-1.568e-4,0.301,0.005,-89.365,89.944,1169.027,343,0.162,0.001,9.79,96.826,70.447,2.638,0,0,11.61,0.466,0.262,0.078,0.126,0.466,0.028,0.074,2.294e-4,0,0,0,0,2.105e-6,2.003,90,10.889,939.807,0.001,337.898,0.22,6.061e6,10,78.54,0.05,0.156,0.009
41.147,628.769,628.769,-74.156,74.163,0.138,0.489,274.512,0.273,274.512,89.943,1.026,0.47,28.61,-80.597,0.085,-1.592e-4,3.112,0.033,-89.273,89.908,1169.027,343,0.162,0.001,9.79,96.872,70.447,2.642,0,0,11.612,0.466,0.262,0.078,0.126,0.466,0.017,0.044,-3.998e-4,0,0,0,0,2.256e-4,2.076,90,10.913,940.222,0.001,337.912,0.219,6.062e6,10,78.54,0.05,0.156,0.009
41.197,625.061,625.061,-74.149,74.156,0.146,0.146,274.46,0.273,274.461,89.943,1.037,0.011,28.61,-80.597,0.033,-1.584e-4,-3.672,0.102,-89.093,89.881,1169.027,343,0.162,0.001,9.79,96.912,70.447,2.647,0,0,11.614,0.466,0.262,0.078,0.126,0.466,0.006,0.017,-2.733e-4,0,0,0,0,-3.141e-4,2.168,90,10.937,940.636,0.001,337.927,0.219,6.063e6,10,78.54,0.05,0.157,0.009
41.247,621.354,621.354,-74.141,74.148,0.16,0.672,274.409,0.273,274.409,89.943,1.019,0.653,28.61,-80.597,0.197,-1.56e-4,-0.793,0.015,-88.968,89.912,1169.027,343,0.162,0.001,9.79,96.785,70.447,2.634,0,0,11.617,0.466,0.262,0.078,0.126,0.466,0.039,0.102,2.173e-4,0,0,0,0,-1.464e-5,2.099,90,10.961,941.05,0.001,337.941,0.219,6.064e6,10,78.54,0.045,0.157,0.009
41.292,618.034,618.034,-74.134,74.141,0.16,0.677,274.364,0.273,274.364,89.943,0.987,0.658,28.61,-80.597,0.196,-1.581e-4,3.479,0.022,-89.03,89.949,1169.027,343,0.162,0.001,9.79,96.786,70.447,2.634,0,0,11.618,0.466,0.262,0.078,0.126,0.466,0.038,0.101,-3.598e-4,0,0,0,0,2.82e-4,1.989,90,10.983,941.421,0.001,337.954,0.219,6.065e6,10,78.54,0.045,0.157,0.009
41.337,614.685,614.685,-74.127,74.134,0.143,0.462,274.32,0.273,274.32,89.943,0.98,0.439,28.61,-80.597,0.076,-1.59e-4,-4.918,0.046,-89.239,90.001,1169.027,343,0.162,0.001,9.79,96.879,70.447,2.643,0,0,11.619,0.466,0.262,0.078,0.126,0.466,0.015,0.04,5.828e-5,0,0,0,0,-5.637e-4,2.063,90,11.005,941.795,0.001,337.968,0.219,6.066e6,10,78.54,0.05,0.157,0.009
41.387,610.979,610.979,-74.12,74.127,0.141,1.075,274.27,0.273,274.27,89.943,1.023,1.066,28.61,-80.597,0.232,-1.56e-4,-0.812,0.007,-89.394,90.034,1169.027,343,0.162,0.001,9.79,96.758,70.447,2.631,0,0,11.622,0.466,0.262,0.078,0.126,0.466,0.046,0.12,4.951e-4,0,0,0,0,-1.538e-5,2.108,90,11.029,942.209,0.001,337.982,0.219,6.067e6,10,78.54,0.038,0.157,0.009
41.425,608.168,608.168,-74.115,74.122,0.143,0.919,274.23,0.273,274.23,89.943,1.062,0.907,28.61,-80.597,0.193,-1.578e-4,2.949,-0.003,-89.351,90.014,1169.027,343,0.162,0.001,9.79,96.788,70.447,2.634,0,0,11.623,0.466,0.262,0.078,0.126,0.466,0.038,0.099,4.414e-4,0,0,0,0,2.028e-4,2.151,90,11.047,942.523,0.001,337.993,0.219,6.068e6,10,78.54,0.046,0.157,0.009
41.471,604.758,604.758,-74.108,74.116,0.15,0.273,274.181,0.273,274.181,89.943,1.089,0.228,28.61,-80.597,0.022,-1.573e-4,5.291,0.03,-89.148,89.958,1169.027,343,0.162,0.001,9.79,96.921,70.447,2.647,0,0,11.624,0.466,0.262,0.078,0.126,0.466,0.004,0.011,-2.319e-4,0,0,0,0,6.528e-4,2.218,90,11.069,942.904,0.001,338.007,0.219,6.069e6,10,78.54,0.05,0.157,0.009
41.521,601.053,601.053,-74.1,74.108,0.165,0.491,274.126,0.273,274.126,89.943,1.081,0.462,28.61,-80.597,0.154,-1.565e-4,-3.536,0.013,-88.913,89.929,1169.027,343,0.162,0.001,9.79,96.818,70.447,2.637,0,0,11.626,0.466,0.262,0.078,0.126,0.466,0.03,0.079,-3.42e-4,0,0,0,0,-2.916e-4,2.287,90,11.093,943.318,0.001,338.021,0.219,6.07e6,10,78.54,0.05,0.158,0.009
41.571,597.348,597.348,-74.092,74.099,0.172,0.666,274.073,0.273,274.073,89.943,1.053,0.643,28.61,-80.597,0.2,-1.631e-4,0.519,0.011,-88.835,89.945,1169.027,343,0.162,0.001,9.79,96.782,70.447,2.634,0,0,11.629,0.466,0.262,0.078,0.126,0.466,0.039,0.104,4.196e-4,0,0,0,0,6.289e-6,2.301,90,11.117,943.732,0.001,338.036,0.219,6.072e6,10,78.54,0.044,0.158,0.009
41.615,594.105,594.105,-74.084,74.091,0.162,0.242,274.027,0.273,274.027,89.943,1.031,0.18,28.61,-80.597,0.085,-1.685e-4,3.787,0.021,-88.938,89.968,1169.027,343,0.162,0.001,9.79,96.872,70.447,2.642,0,0,11.629,0.466,0.262,0.078,0.126,0.466,0.017,0.044,2.961e-4,0,0,0,0,3.346e-4,2.294,90,11.138,944.094,0.001,338.049,0.219,6.072e6,10,78.54,0.05,0.158,0.009
41.665,590.401,590.401,-74.077,74.084,0.149,0.711,273.975,0.274,273.976,89.943,1.048,0.695,28.61,-80.597,0.132,-1.699e-4,-2.83,0.011,-89.121,89.986,1169.027,343,0.162,0.001,9.79,96.835,70.447,2.639,0,0,11.631,0.466,0.262,0.078,0.126,0.466,0.026,0.069,-3.663e-4,0,0,0,0,-1.869e-4,2.355,90,11.162,944.508,0.001,338.063,0.219,6.074e6,10,78.54,0.05,0.158,0.009
41.715,586.697,586.697,-74.069,74.077,0.151,0.701,273.922,0.274,273.922,89.943,1.085,0.685,28.61,-80.597,0.132,-1.63e-4,0.537,0.009,-89.177,89.963,1169.027,343,0.162,0.001,9.79,96.835,70.447,2.639,0,0,11.632,0.466,0.262,0.078,0.126,0.466,0.026,0.068,2.101e-5,0,0,0,0,6.731e-6,2.32,90,11.186,944.922,0.001,338.078,0.219,6.075e6,10,78.54,0.05,0.158,0.009
41.765,582.994,582.994,-74.061,74.07,0.16,0.203,273.867,0.274,273.867,89.943,1.106,0.126,28.61,-80.597,0.005,-1.66e-4,-2.031,0.184,-89.1,89.927,1169.027,343,0.162,0.001,9.79,96.934,70.447,2.649,0,0,11.633,0.466,0.262,0.078,0.126,0.466,9.773e-4,0.003,2.647e-4,0,0,0,0,-9.628e-5,2.263,90,11.211,945.336,0.001,338.092,0.219,6.076e6,10,78.54,0.05,0.158,0.009
41.815,579.291,579.291,-74.053,74.061,0.166,0.234,273.812,0.274,273.812,89.943,1.101,0.165,28.61,-80.597,0.078,-1.643e-4,-0.638,0.008,-89.028,89.913,1169.027,343,0.162,0.001,9.79,96.877,70.447,2.643,0,0,11.635,0.466,0.262,0.078,0.126,0.466,0.015,0.04,3.13e-4,0,0,0,0,-9.499e-6,2.256,90,11.235,945.75,0.001,338.107,0.219,6.077e6,10,78.54,0.05,0.159,0.009
41.865,575.588,575.588,-74.045,74.053,0.164,0.165,273.757,0.274,273.757,89.943,1.099,0.015,28.61,-80.597,0.035,-1.662e-4,0.405,0.006,-89.026,89.932,1169.027,343,0.162,0.001,9.79,96.911,70.447,2.646,0,0,11.636,0.466,0.262,0.078,0.126,0.466,0.007,0.018,4.912e-4,0,0,0,0,3.825e-6,2.313,90,11.259,946.163,0.001,338.122,0.219,6.078e6,10,78.54,0.05,0.159,0.009
41.915,571.886,571.886,-74.037,74.045,0.165,0.167,273.702,0.274,273.702,89.943,1.099,0.026,28.61,-80.597,0.03,-1.67e-4,1.299,0.012,-89.07,89.955,1169.027,343,0.162,0.001,9.79,96.914,70.447,2.647,0,0,11.637,0.466,0.262,0.078,0.126,0.466,0.006,0.016,-3.377e-4,0,0,0,0,3.943e-5,2.262,90,11.283,946.577,0.001,338.136,0.219,6.079e6,10,78.54,0.05,0.159,0.009
41.965,568.185,568.185,-74.028,74.037,0.163,0.28,273.647,0.274,273.647,89.943,1.106,0.228,28.61,-80.597,0.021,-1.668e-4,-1.405,0.023,-89.142,89.974,1169.027,343,0.162,0.001,9.79,96.921,70.447,2.647,0,0,11.639,0.466,0.262,0.078,0.126,0.466,0.004,0.011,1.761e-4,0,0,0,0,-4.613e-5,2.242,90,11.307,946.99,0.001,338.151,0.219,6.08e6,10,78.54,0.05,0.159,0.009
42.015,564.484,564.484,-74.02,74.029,0.163,0.383,273.591,0.274,273.592,89.943,1.12,0.347,28.61,-80.597,0.052,-1.66e-4,-0.528,0.004,-89.192,89.975,1169.027,343,0.162,0.001,9.79,96.897,70.447,2.645,0,0,11.64,0.466,0.262,0.078,0.126,0.466,0.01,0.027,-2.798e-4,0,0,0,0,-6.52e-6,2.231,90,11.331,947.404,0.001,338.165,0.219,6.081e6,10,78.54,0.05,0.159,0.009
42.065,560.783,560.783,-74.012,74.021,0.165,0.282,273.535,0.274,273.535,89.943,1.136,0.229,28.61,-80.597,0.023,-1.657e-4,0.53,0.012,-89.189,89.945,1169.027,343,0.162,0.001,9.79,96.919,70.447,2.647,0,0,11.641,0.466,0.262,0.078,0.126,0.466,0.005,0.012,4.352e-4,0,0,0,0,6.569e-6,2.214,90,11.355,947.817,0.001,338.18,0.219,6.082e6,10,78.54,0.05,0.159,0.009
42.115,557.082,557.082,-74.004,74.012,0.17,0.172,273.478,0.274,273.478,89.943,1.14,0.025,28.61,-80.597,0.039,-1.665e-4,-0.224,0.002,-89.165,89.927,1169.027,343,0.162,0.001,9.79,96.908,70.447,2.646,0,0,11.643,0.466,0.262,0.078,0.126,0.466,0.008,0.02,-9.116e-5,0,0,0,0,-1.173e-6,2.169,90,11.379,948.231,0.001,338.195,0.219,6.083e6,10,78.54,0.05,0.159,0.009
42.165,553.382,553.382,-73.995,74.004,0.172,0.19,273.421,0.274,273.421,89.943,1.138,0.081,28.61,-80.597,0.051,-1.655e-4,0.752,0.019,-89.178,89.959,1169.027,343,0.162,0.001,9.79,96.897,70.447,2.645,0,0,11.644,0.466,0.262,0.078,0.126,0.466,0.01,0.027,-8.857e-5,0,0,0,0,1.323e-5,2.134,90,11.403,948.644,0.001,338.209,0.219,6.084e6,10,78.54,0.05,0.16,0.009
42.215,549.683,549.683,-73.987,73.995,0.172,0.174,273.364,0.274,273.364,89.943,1.134,0.028,28.61,-80.597,0.036,-1.659e-4,1.896,0.055,-89.246,90.014,1169.027,343,0.162,0.001,9.79,96.91,70.447,2.646,0,0,11.645,0.466,0.262,0.078,0.126,0.466,0.007,0.018,-1.393e-5,0,0,0,0,8.412e-5,2.061,90,11.427,949.058,0.001,338.224,0.219,6.085e6,10,78.54,0.05,0.16,0.009
42.265,545.984,545.984,-73.978,73.987,0.17,0.272,273.307,0.274,273.308,89.943,1.139,0.212,28.61,-80.597,0.026,-1.66e-4,-1.966,0.073,-89.348,90.031,1169.027,343,0.162,0.001,9.79,96.917,70.447,2.647,0,0,11.646,0.466,0.262,0.078,0.126,0.466,0.005,0.014,2.569e-4,0,0,0,0,-9.042e-5,2.015,90,11.451,949.471,0.001,338.238,0.219,6.086e6,10,78.54,0.05,0.16,0.009
42.315,542.285,542.285,-73.97,73.978,0.171,0.275,273.25,0.274,273.25,89.943,1.152,0.215,28.61,-80.597,0.03,-1.651e-4,-1.103,0.022,-89.424,89.961,1169.027,343,0.162,0.001,9.791,96.914,70.447,2.647,0,0,11.647,0.466,0.262,0.078,0.126,0.466,0.006,0.016,6.891e-5,0,0,0,0,-2.846e-5,1.934,90,11.475,949.884,0.001,338.253,0.219,6.087e6,10,78.54,0.05,0.16,0.009
42.365,538.587,538.587,-73.961,73.97,0.173,0.203,273.192,0.274,273.193,89.943,1.157,0.106,28.61,-80.597,0.006,-1.659e-4,-0.996,-0.119,-89.475,89.865,1169.027,343,0.162,0.001,9.791,96.933,70.447,2.649,0,0,11.648,0.466,0.262,0.078,0.126,0.466,0.001,0.003,3.219e-4,0,0,0,0,-2.321e-5,1.842,90,11.499,950.297,0.001,338.267,0.219,6.088e6,10,78.54,0.05,0.16,0.009
42.415,534.889,534.889,-73.952,73.962,0.173,0.319,273.134,0.274,273.134,89.942,1.168,0.269,28.61,-80.597,0.046,-1.652e-4,-0.257,-0.005,-89.51,89.821,1169.027,343,0.162,0.001,9.791,96.901,70.447,2.645,0,0,11.649,0.466,0.262,0.078,0.126,0.466,0.009,0.024,-3.868e-4,0,0,0,0,-1.544e-6,1.86,90,11.523,950.71,0.001,338.282,0.219,6.089e6,10,78.54,0.05,0.16,0.009
42.465,531.192,531.192,-73.944,73.953,0.175,0.229,273.076,0.274,273.076,89.942,1.179,0.148,28.61,-80.597,0.017,-1.643e-4,0.55,0.013,-89.5,89.841,1169.027,343,0.162,0.001,9.791,96.924,70.447,2.648,0,0,11.65,0.466,0.262,0.078,0.126,0.466,0.003,0.009,-4.494e-4,0,0,0,0,7.076e-6,1.846,90,11.547,951.123,0.001,338.297,0.219,6.09e6,10,78.54,0.05,0.16,0.009
42.515,527.495,527.495,-73.935,73.944,0.177,0.182,273.017,0.274,273.017,89.942,1.181,0.043,28.61,-80.597,0.03,-1.644e-4,-0.37,0.014,-89.473,89.892,1169.027,343,0.162,0.001,9.791,96.914,70.447,2.647,0,0,11.652,0.466,0.262,0.078,0.126,0.466,0.006,0.015,-1.493e-4,0,0,0,0,-3.203e-6,1.823,90,11.571,951.537,0.001,338.311,0.219,6.091e6,10,78.54,0.05,0.161,0.009
42.565,523.798,523.798,-73.926,73.935,0.18,0.283,272.958,0.274,272.958,89.942,1.176,0.219,28.61,-80.597,0.072,-1.638e-4,0.626,0.006,-89.475,89.945,1169.027,343,0.162,0.001,9.791,96.881,70.447,2.643,0,0,11.653,0.466,0.262,0.078,0.126,0.466,0.014,0.037,8.41e-5,0,0,0,0,9.177e-6,1.76,90,11.595,951.95,0.001,338.326,0.219,6.092e6,10,78.54,0.05,0.161,0.009
42.615,520.102,520.102,-73.917,73.926,0.18,0.228,272.899,0.274,272.899,89.942,1.162,0.14,28.61,-80.597,0.05,-1.637e-4,2.592,0.021,-89.559,89.959,1169.027,343,0.162,0.001,9.791,96.898,70.447,2.645,0,0,11.654,0.466,0.262,0.078,0.126,0.466,0.01,0.026,1.827e-4,0,0,0,0,1.575e-4,1.666,90,11.619,952.362,0.001,338.34,0.218,6.093e6,10,78.54,0.05,0.161,0.009
42.665,516.406,516.406,-73.908,73.917,0.177,0.503,272.841,0.274,272.841,89.942,1.172,0.471,28.61,-80.597,0.102,-1.649e-4,-1.746,0.006,-89.68,89.936,1169.027,343,0.162,0.001,9.791,96.858,70.447,2.641,0,0,11.655,0.466,0.262,0.078,0.126,0.466,0.02,0.052,7.024e-5,0,0,0,0,-7.152e-5,1.716,90,11.643,952.775,0.001,338.355,0.218,6.094e6,10,78.54,0.05,0.161,0.009
42.715,512.711,512.711,-73.899,73.909,0.178,0.541,272.782,0.274,272.782,89.942,1.199,0.51,28.61,-80.597,0.112,-1.678e-4,0.906,9.201e-4,-89.701,89.924,1169.027,343,0.162,0.001,9.791,96.85,70.447,2.64,0,0,11.657,0.466,0.262,0.078,0.126,0.466,0.022,0.058,3.136e-5,0,0,0,0,1.927e-5,1.729,90,11.667,953.188,0.001,338.369,0.218,6.095e6,10,78.54,0.05,0.161,0.009
42.765,509.016,509.016,-73.89,73.9,0.18,0.258,272.721,0.274,272.721,89.942,1.216,0.184,28.61,-80.597,0.03,-1.715e-4,2.514,0.008,-89.608,89.918,1169.027,343,0.162,0.001,9.791,96.914,70.447,2.647,0,0,11.657,0.466,0.262,0.078,0.126,0.466,0.006,0.015,-3.191e-4,0,0,0,0,1.482e-4,1.76,90,11.691,953.601,0.001,338.384,0.218,6.096e6,10,78.54,0.05,0.161,0.009
42.815,505.322,505.322,-73.881,73.891,0.184,0.199,272.66,0.274,272.661,89.942,1.218,0.076,28.61,-80.597,0.038,-1.704e-4,-2.341,0.01,-89.481,89.929,1169.027,343,0.162,0.001,9.791,96.908,70.447,2.646,0,0,11.659,0.466,0.262,0.078,0.126,0.466,0.007,0.019,-3.524e-4,0,0,0,0,-1.286e-4,1.839,90,11.715,954.014,0.001,338.398,0.218,6.097e6,10,78.54,0.05,0.161,0.009
42.865,501.628,501.628,-73.872,73.882,0.187,0.3,272.6,0.275,272.6,89.942,1.211,0.235,28.61,-80.597,0.079,-1.736e-4,-1.121,-9.744e-4,-89.391,89.965,1169.027,343,0.162,0.001,9.791,96.875,70.447,2.643,0,0,11.66,0.466,0.262,0.078,0.126,0.466,0.015,0.041,3.356e-4,0,0,0,0,-2.951e-5,1.894,90,11.739,954.426,0.001,338.413,0.218,6.098e6,10,78.54,0.05,0.162,0.009
42.915,497.935,497.935,-73.862,73.872,0.187,0.247,272.54,0.275,272.54,89.942,1.197,0.162,28.61,-80.597,0.062,-1.788e-4,0.932,-0.002,-89.389,89.951,1169.027,343,0.162,0.001,9.791,96.889,70.447,2.644,0,0,11.661,0.466,0.262,0.078,0.126,0.466,0.012,0.032,3.761e-4,0,0,0,0,2.037e-5,1.905,90,11.763,954.851,0.001,338.428,0.218,6.099e6,10,78.54,0.05,0.162,0.009
42.965,494.242,494.242,-73.853,73.863,0.183,0.418,272.48,0.275,272.48,89.942,1.204,0.376,28.61,-80.597,0.069,-1.788e-4,-0.736,0.003,-89.442,89.917,1169.027,343,0.162,0.001,9.791,96.883,70.447,2.644,0,0,11.663,0.466,0.262,0.078,0.126,0.466,0.013,0.036,-3.668e-4,0,0,0,0,-1.272e-5,2.013,90,11.787,955.284,0.001,338.442,0.218,6.1e6,10,78.54,0.05,0.162,0.009
43.015,490.55,490.55,-73.844,73.854,0.183,0.491,272.419,0.275,272.419,89.942,1.227,0.456,28.61,-80.597,0.088,-1.753e-4,1.384,-0.001,-89.426,89.906,1169.027,343,0.162,0.001,9.791,96.869,70.447,2.642,0,0,11.665,0.466,0.262,0.078,0.126,0.466,0.017,0.045,-1.226e-4,0,0,0,0,4.497e-5,2.08,90,11.811,955.717,0.001,338.457,0.218,6.101e6,10,78.54,0.05,0.162,0.009
43.065,486.858,486.858,-73.835,73.845,0.189,0.194,272.357,0.275,272.357,89.942,1.24,0.04,28.61,-80.597,0.036,-1.756e-4,-2.171,0.01,-89.326,89.937,1169.027,343,0.162,0.001,9.791,96.909,70.447,2.646,0,0,11.666,0.466,0.262,0.078,0.126,0.466,0.007,0.018,4.892e-4,0,0,0,0,-1.107e-4,2.063,90,11.835,956.15,0.001,338.471,0.218,6.102e6,10,78.54,0.05,0.162,0.009
43.115,483.166,483.166,-73.825,73.835,0.195,0.437,272.295,0.275,272.296,89.942,1.225,0.391,28.61,-80.597,0.122,-1.738e-4,0.076,0.012,-89.267,89.973,1169.027,343,0.162,0.001,9.791,96.842,70.447,2.639,0,0,11.667,0.466,0.262,0.078,0.126,0.466,0.024,0.063,-1.931e-4,0,0,0,0,1.374e-7,2.012,90,11.859,956.583,0.001,338.486,0.218,6.103e6,10,78.54,0.05,0.163,0.009
43.165,479.475,479.475,-73.815,73.825,0.191,0.191,272.235,0.275,272.235,89.942,1.214,0.003,28.61,-80.597,0.026,-1.704e-4,1.927,0.034,-89.326,89.995,1169.027,343,0.162,0.001,9.791,96.916,70.447,2.647,0,0,11.668,0.466,0.262,0.078,0.126,0.466,0.005,0.013,-1.859e-5,0,0,0,0,8.73e-5,2.048,90,11.883,957.016,0.001,338.5,0.218,6.104e6,10,78.54,0.05,0.163,0.009
43.215,475.785,475.785,-73.806,73.816,0.188,0.46,272.174,0.275,272.174,89.942,1.226,0.419,28.61,-80.597,0.078,-1.715e-4,-1.106,0.01,-89.411,89.973,1169.027,343,0.162,0.001,9.791,96.876,70.447,2.643,0,0,11.67,0.466,0.262,0.078,0.126,0.466,0.015,0.041,4.513e-4,0,0,0,0,-2.874e-5,2.086,90,11.907,957.448,0.001,338.515,0.218,6.105e6,10,78.54,0.05,0.163,0.009
43.265,472.095,472.095,-73.797,73.807,0.19,0.325,272.112,0.275,272.112,89.942,1.246,0.263,28.61,-80.597,0.041,-1.721e-4,0.639,-0.002,-89.418,89.963,1169.027,343,0.162,0.001,9.791,96.905,70.447,2.646,0,0,11.67,0.466,0.262,0.078,0.126,0.466,0.008,0.021,4.021e-4,0,0,0,0,9.606e-6,2.049,90,11.931,957.881,0.001,338.529,0.218,6.106e6,10,78.54,0.05,0.163,0.009
